,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"University Mechanical Contractors Inc,",2864.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2864.86
"VA Loma Linda Health Care Center",0.00,102422.51,0.00,0.00,0.00,0.00,13469.75,76389.96,0.00,0.00,18513.10,7413.50,218208.82
"VA Medical Center- Long Beach",0.00,0.00,0.00,7393.15,0.00,0.00,0.00,0.00,0.00,0.00,2293.68,0.00,9686.83
"Vacumetrics Corp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1066.85,0.00,0.00,1066.85
"Valero Refining Co. - Benicia Cogen Plant",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5105.37,5105.37
"Valley Presbyterian Hospital",0.00,0.00,0.00,0.00,0.00,0.00,0.00,12893.92,0.00,0.00,13033.00,0.00,25926.92
"Valsamis, Inc.",0.00,0.00,0.00,0.00,1747.70,0.00,0.00,10611.31,0.00,0.00,0.00,0.00,12359.01
"Velasco Air",0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.76,89.52,0.00,0.00,0.00,170.28
"Veolia North America",0.00,0.00,5879.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5879.52
"Vertical Systems, LLC",9738.02,0.00,0.00,0.00,0.00,7394.20,0.00,1126.34,21434.30,54.36,0.00,20225.36,59972.58
"VIAVI Solutions",0.00,0.00,0.00,219.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.88,501.34
"W.L. Gore & Associates",2420.00,0.00,4235.00,0.00,0.00,0.00,0.00,2420.00,0.00,3630.00,0.00,0.00,12705.00
"Waco Filters",0.00,0.00,0.00,2759.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2759.40
"Walden School",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.31,0.00,107.31
"Warner Bros Studio Facilities",0.00,0.00,0.00,0.00,2194.20,0.00,23755.44,0.00,0.00,0.00,0.00,0.00,25949.64
"Warnock Foods",294.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.28
"Watco Companies LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2243.24,0.00,0.00,0.00,0.00,2243.24
"Water & Process Technologies, Inc.",0.00,561.90,0.00,0.00,0.00,0.00,0.00,561.90,0.00,0.00,0.00,0.00,1123.80
"Wellhead Services, Inc.",0.00,0.00,0.00,0.00,0.00,4752.04,0.00,0.00,0.00,0.00,0.00,0.00,4752.04
"Wesco Distribution",326.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.40
"Western American Specialties",0.00,1334.74,0.00,0.00,0.00,1334.74,0.00,3714.83,0.00,0.00,0.00,0.00,6384.31
"Western Science Center",0.00,0.00,0.00,0.00,0.00,2928.08,0.00,0.00,0.00,0.00,0.00,0.00,2928.08
"White Memorial Medical Center",12225.60,0.00,0.00,6715.68,634.40,13397.20,0.00,0.00,0.00,0.00,26313.89,3518.40,62805.17
"White Memorial Montebello",0.00,0.00,0.00,0.00,0.00,0.00,35768.50,0.00,0.00,5279.76,0.00,0.00,41048.26
"WI Loma Linda CA LLC",3132.19,0.00,26253.82,0.00,0.00,3132.19,0.00,0.00,0.00,3936.71,0.00,0.00,36454.91
"Widman International S.R.L.",0.00,0.00,0.00,0.00,0.00,40392.32,0.00,0.00,0.00,0.00,0.00,0.00,40392.32
"Woodland Volunteer Food Closet",0.00,0.00,0.00,0.00,0.00,219.14,0.00,0.00,0.00,0.00,0.00,0.00,219.14
"Worthe Real Estate Group",0.00,2984.82,4228.29,14043.32,52703.39,9310.40,0.00,4179.20,980.60,15941.33,3396.34,0.00,107767.69
"WSDOT NWR Signals HQ",0.00,1366.78,0.00,0.00,0.00,0.00,0.00,1193.11,0.00,0.00,0.00,0.00,2559.89
"Xenova Sciences",1290.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1290.33
"Yaryura & Associados SRL",0.00,0.00,0.00,0.00,1441.65,3179.94,0.00,0.00,0.00,0.00,0.00,0.00,4621.59
"TOTAL",837274.37,1035303.17,1297741.90,1301134.38,1092389.02,1059221.35,960150.59,898712.42,944757.52,952530.10,1378522.74,1458830.25,13216567.81
