,"Jan 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
"SoCal Filters and Services, Inc.",17424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17424.00
"South Coast Facility Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9276.28,0.00,608.03,9884.31
"South Texas Electric Cooperative - STEC",6377.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6377.80
"Southern Cross Aviation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1662.00,1662.00
"Southwest Research Institute",0.00,0.00,895.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895.42
"SPACEX",740.00,0.00,0.00,0.00,3137.00,0.00,0.00,0.00,2095.50,0.00,284.06,2334.10,8590.66
"Special Projects & Controls Division",0.00,0.00,0.00,864.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,864.68
"SPX Radiodetection",966.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.00
"SRP- Agua Fria Generating Station",0.00,0.00,0.00,33388.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33388.76
"SRP Coolidge Generating Station",0.00,0.00,0.00,0.00,127362.24,0.00,0.00,0.00,0.00,0.00,42605.85,280378.50,450346.59
"SRP Desert Basin",0.00,0.00,12947.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12947.10
"St Joseph Hospital - Orange-",0.00,0.00,0.00,0.00,0.00,0.00,48927.36,24608.65,0.00,26765.59,0.00,0.00,100301.60
"St. Francis Medical Center",2318.00,0.00,40325.17,2595.40,0.00,0.00,0.00,3652.50,0.00,2595.40,0.00,0.00,51486.47
"St. Mary Medical Center",0.00,0.00,0.00,0.00,0.00,1922.45,2217.83,0.00,0.00,0.00,0.00,0.00,4140.28
"Stellant Systems",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1391.10,0.00,0.00,0.00,0.00,1391.10
"Stepan",1658.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2210.05,0.00,3868.33
"Summit Electrical Supply",0.00,0.00,0.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00
"Sunrise Power Compan",136884.13,0.00,0.00,0.00,0.00,75519.82,0.00,0.00,0.00,0.00,0.00,0.00,212403.95
"Suntest Systems, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,3642.50,0.00,0.00,0.00,0.00,3642.50
"SuperColor Digital",0.00,0.00,0.00,0.00,1248.00,0.00,719.00,0.00,417.00,0.00,0.00,0.00,2384.00
"Superior Felt & Filtration, LLC.",0.00,0.00,0.00,0.00,0.00,17956.22,0.00,0.00,0.00,0.00,0.00,0.00,17956.22
"Superior Marbel & Granite, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.68,0.00,0.00,0.00,0.00,111.68
"Supreme Color Graphics",0.00,902.26,0.00,0.00,0.00,515.80,0.00,0.00,0.00,0.00,0.00,0.00,1418.06
"TactIQ, LLC",0.00,60074.84,4529.28,836.00,0.00,0.00,1207.28,422.40,0.00,0.00,0.00,0.00,67069.80
"Team Industrial Services, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2878.51,0.00,0.00,2878.51
"Tech Valley Filtration",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,0.00,390.00
"Technical Equipment Sales, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1429.85,923.60,0.00,2353.45
"Technomax Middle East Engg. LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Teledyne API",2202.00,0.00,2448.00,2448.00,2448.00,0.00,2448.00,0.00,0.00,0.00,0.00,0.00,11994.00
"Temecula Valley Hospital",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20453.34,0.00,0.00,20453.34
"The Aerospace Corporation",40372.13,1714.60,13052.00,3905.04,26488.78,405.60,0.00,18562.88,0.00,14352.20,15970.18,0.00,134823.41
"The Beverly Hilton",5256.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5256.32
"The Filter Man, LLC",5951.20,0.00,0.00,0.00,0.00,7091.20,630.40,0.00,0.00,0.00,0.00,0.00,13672.80
"The Flinchbaugh Company, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.49,125.35,0.00,0.00,0.00,240.84
"The Procter & Gamble Paper",0.00,402.98,0.00,0.00,0.00,0.00,0.00,0.00,410.98,0.00,0.00,0.00,813.96
"THE SAFARILAND GROUP",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,527.89,0.00,0.00,527.89
"TID Water & Power",0.00,0.00,0.00,0.00,2579.14,0.00,0.00,0.00,7029.50,0.00,3267.28,32429.18,45305.10
"TIS Construction Services, Inc",0.00,0.00,0.00,1496.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1496.75
"TMK SARL",0.00,0.00,0.00,0.00,0.00,2749.00,0.00,0.00,0.00,0.00,0.00,0.00,2749.00
"Total Filtration Specialists",7396.70,0.00,8055.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2473.88,3070.41,20996.41
"TradeMark Nitrogen",0.00,0.00,0.00,5996.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5996.00
"Transterre Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,130.00
"Trebla Industrial Resources, Inc.",531.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,724.56,0.00,0.00,1255.98
"Tri-West Mechanical",652.22,0.00,92.44,0.00,1717.32,0.00,346.15,1051.35,0.00,1763.01,0.00,2100.93,7723.42
"TS Air Sciences",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"UBER",0.00,18668.32,5013.38,1080.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1975.80,26737.54
"UCLA Campus Procurement",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221.12,0.00,0.00,0.00,0.00,1221.12
"Unitek Technology, Inc.",0.00,0.00,0.00,3064.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3064.00
"University Of California , San Diego",0.00,0.00,0.00,0.00,0.00,616.58,0.00,0.00,0.00,0.00,0.00,0.00,616.58
"US-ELECTRIC MOTORS",0.00,0.00,0.00,0.00,0.00,130.41,0.00,0.00,0.00,0.00,0.00,0.00,130.41
"USC Arcadia Hospital",12906.62,0.00,0.00,0.00,0.00,5171.60,267.80,4683.74,133.90,133.90,38865.50,0.00,62163.06
"V Lopez Jr and Sons",0.00,0.00,2002.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2002.10
"VA - West Los Angeles",0.00,0.00,0.00,237.16,0.00,0.00,239.47,0.00,0.00,239.47,0.00,239.47,955.57
"VA Loma Linda Health Care Center",0.00,0.00,7658.28,0.00,0.00,84705.23,0.00,11571.96,14331.59,0.00,0.00,17431.95,135699.01
"VA Medical Center- Long Beach",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,607.16,0.00,0.00,607.16
"Vacumetrics Corp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1155.00,0.00,0.00,0.00,1155.00
"Valley Presbyterian Hospital",6627.71,6627.71,6522.61,6627.71,2636.27,6627.71,20347.19,6627.71,0.00,-480.21,19883.13,6627.71,88675.25
"Ventilators Plus",0.00,0.00,0.00,0.00,2250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.00
"Vertical Systems, LLC",7301.00,18944.66,0.00,1324.80,0.00,0.00,14535.55,0.00,0.00,833.95,22480.92,0.00,65420.88
"VIAVI Solutions",0.00,0.00,0.00,0.00,0.00,497.46,0.00,0.00,0.00,0.00,0.00,0.00,497.46
"Vince Gomez",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vision Aire Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"W.L. Gore & Associates",1815.00,6050.00,0.00,0.00,0.00,0.00,0.00,6050.00,1815.00,0.00,0.00,6050.00,21780.00
"Walden School",0.00,0.00,0.00,0.00,0.00,0.00,1676.79,2727.13,-1615.68,0.00,0.00,0.00,2788.24
"Warner Bros Studio Facilities",0.00,2771.60,0.00,0.00,0.00,0.00,2876.46,1744.29,0.00,0.00,0.00,0.00,7392.35
"Watco Companies LLC",2378.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2378.54
"Water & Process Technologies, Inc.",0.00,0.00,624.36,0.00,0.00,0.00,0.00,0.00,624.36,0.00,0.00,0.00,1248.72
"Wellhead Services, Inc.",0.00,0.00,0.00,4881.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4881.50
"Wellhead Services, Inc. - Chula Vista",27360.44,0.00,0.00,0.00,3109.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30469.80
"West Anaheim Medical Center",0.00,0.00,21652.10,0.00,0.00,6377.25,0.00,6371.58,0.00,6177.76,0.00,0.00,40578.69
"West Coast Appliance Services, Inc.",0.00,0.00,816.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,816.90
"West Virginia University",0.00,0.00,0.00,0.00,2736.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2736.87
"Westland Mechanical",0.00,0.00,0.00,0.00,0.00,1018.32,7085.71,0.00,0.00,0.00,0.00,0.00,8104.03
"White Memorial Medical Center",23119.40,5210.16,2697.76,0.00,4372.72,0.00,0.00,18284.38,0.00,1827.36,0.00,0.00,55511.78
"White Memorial Montebello",0.00,0.00,0.00,30864.28,0.00,3275.54,0.00,0.00,3275.54,0.00,0.00,0.00,37415.36
"WI Loma Linda CA LLC",3632.38,0.00,26441.27,0.00,0.00,4011.52,0.00,0.00,0.00,4147.94,0.00,0.00,38233.11
"Williams",0.00,0.00,0.00,197.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.15
"Wolverine Power Supply Cooperative, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2539.40,2539.40
"Worthe Real Estate Group",7984.64,6145.20,26416.12,0.00,1630.88,6093.92,0.00,1444.64,3171.28,1807.76,0.00,13381.97,68076.41
"WSDOT NWR Signals HQ",0.00,449.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438.30,0.00,0.00,887.60
"Xencor",0.00,0.00,0.00,0.00,0.00,0.00,733.96,0.00,0.00,0.00,0.00,0.00,733.96
"ZAFI Air Conditioning and Consulting",0.00,0.00,497.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497.02
"Zephyr Group",0.00,0.00,0.00,1060.00,0.00,0.00,0.00,0.00,0.00,11601.34,0.00,0.00,12661.34
"Zkilz",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.58,45.58
"TOTAL",1456785.58,1107835.61,1800456.09,1173227.23,2083573.00,1052161.44,1429429.47,1042651.30,1020315.33,1024270.47,907427.18,1934299.08,16032431.78
